name,max,color
Toa Hordika,72,Dark Bluish Gray
Toa Inika,65,Black
Toa Mahri,85,Black
Toa Metru,77,Black
Toa Nuva,96,Black
Toa Okoto,140,Black
Tohunga,9,Black
Town,994,Light Bluish Gray
Town,73,Black
Town,3304,White
Town Plan,2026,White
Town Plan,400,White
Toy Story,439,Black
Toy Story,439,Dark Bluish Gray
Track System,368,Black
Traffic,892,Black
Traffic,383,Black
Traffic,1878,Black
Traffic,8,Black
Traffic,1981,White
Traffic,100,Yellow
Traffic,37,Black
Traffic,228,Red
Traffic,6768,Black
Train,20,Trans-Clear
Train,107,Black
Train,89,Red
Train,707,Black
Trains,640,Dark Bluish Gray
Turaga,170,Black
UFO,567,Black
Ultimate Collector Series,894,White
Ultimate Collector Series,1747,Black
Ultra Agents,1811,Black
Unitron,632,Black
Universal Building Set,2196,Light Gray
Universal Building Set,2531,Red
Universe,24,White
Vahki,88,Black
Valentine,330,Red
Vehicle,96,Black
Vehicles,193,Black
Vikings,639,Black
Villains,957,Black
Visorak,55,Black
Warriors,890,Black
WeDo,138,White
Western ,18,Chrome Gold
Williams F1,962,Black
Wolfpack,126,Light Gray
World City,606,Dark Gray
World Racers,809,Black
X-Men,182,Black
X-Pod,113,Black
Xalax,45,Black
Znap,427,Black
